PharmacyID,fac_id,fac_name,address,Latitude,Longitude
3INDI,2281,GL -  SYCAMORE VILLAGE ,"2905 WEST SYCAMORE KOKOMO, IN 46901",40.487447,-86.172943
3INDI,3678,GL -  WOODLANDS ,"4088 FRAME ROAD NEWBURGH, IN 47630",37.974984,-87.412909
3INDI,3679,GL -  BRENTWOOD ,"30 EAST CHANDLER AVENUE EVANSVILLE, IN 47713",37.966574,-87.565061
3INDI,4581,DISPENSING PHARMACY IN,5635 WEST 96TH STREET INDIANAPOLIS. IN  46278       ,39.92456,-86.261105
3INDI,4875,GL -  KNOX ,"300 EAST CULVER ROAD KNOX, IN 46534",41.287548,-86.617588
3INDI,4877,GL -  ELKHART ,"1001 WEST HIVELY AVENUE ELKHART, IN 46517",41.65849,-85.981276
3INDI,4878,GL -  MUNCIE ,"2701 LYN-MAR DRIVE MUNCIE, IN 47304",40.21553167,-85.43303833
3INDI,I1601,HH - NEW CASTLE,1023 N 20TH STREET,39.94215,-85.36169
3INDI,I1602,HH - RICHMOND,2070 CHESTER BLVD,39.8618295,-84.8915965
3INDI,I1603,HH - SHELBYVILLE,"2309 S. MILLER STREET SHELBYVILLE, IN 46176",39.503205,-85.788044
3INDI,I1604,HH - GREENSBURG,"410 PARK ROAD GREENSBURG, IN 47240",39.329666,-85.490421
3INDI,N1107,NW - NORTHWEST HEALTHCARE CENTER,"6440 WEST 34TH STREET INDIANAPOLIS, IN 46224",39.816573,-86.272784
3INDI,T1401,TH - BOONVILLE NORTH,"305 E. NORTH STREET BOONVILLE, IN 47602",38.05838967,-87.270389
3INDI,T1402,TH - BOONVILLE,"725 S. SECOND STREET BOONVILLE, IN 47601",38.04329,-87.27865733
3INDI,T1403,TH - OWENSVILLE,"7336 HIGHWAY 165 WEST OWENSVILLE, IN 47665",38.26994117,-87.70272583
4KCTY,127,IMR - IGNITE OF KANSAS CITY,"2100 NW BARRY ROAD, 2100 NW BARRY RD 64154",39.246891,-94.605824
4KCTY,156,EV - EVERGREEN COMMUNITY,"11875 S. Sunset Drive #100, Olathe, KS 66016",38.913909,-94.802566
4KCTY,158,SW-ROSEWOOD HEALTH REHAB,"1415 WEST WHITE OAK, INDEPENDENCE, MO, 64050",39.095521,-94.433443
4KCTY,159,SW-BEAUVAIS MANOR HLTH & REHAB,"3625 MAGNOLIA AVENUE, SAINT LOUIS, MO, 53110",38.607886,-90.242585
4KCTY,160,SW-HILLSIDE MANOR HLTH & REHAB,"1265 MCLARAN AVENUE, SAINT LOUIS, MO, 53147",38.716325,-90.237031
4KCTY,161,SW-RANCHO MANOR HLTH & REHAB,"615 RANCHO LANE, FLORISSANT, MO, 53031",38.820427,-90.319758
4KCTY,162,SW-CARRIAGE SQ LIVING & REHAB,"4009 GENE FIELD ROAD, SAINT JOSEPH, MO, 64506",39.793637,-94.794717
4KCTY,163,SW-SEASONS CARE CENTER,"15600 WOODS CHAPEL ROAD, KANSAS CITY, MO, 54139",38.9854,-94.40051
4KCTY,170,AZ - AZRIA HEALTH OLATHE,"201 E. FLAMING ROAD, OLATHE, KS 66061",38.866517,-94.818426
4KCTY,651,MG - SPRINGFIELD CARE CENTER,"2401 WEST GRAND, SPRINGFIELD, MO 65802",37.19801,-93.32446
4KCTY,652,MG - SPRING VALLEY HEALTH,"2915 SOUTH FREEMONT AVE, SPRINGFIELD, MO 65804",37.16142667,-93.27280667
4KCTY,653,MG - THE LODGES ALF,"2401 WEST GRAND, SPRINGFIELD, MO 65802",37.19801,-93.32446
4KCTY,654,MG - FLORISSANT VALLEY HEALTH,"1200 GRAHAM ROAD FLORISSANT, MO 63031",38.779082,-90.334331
4KCTY,655,MG - HIDDEN LAKE  WEST CARE CENTER,"11400 HIDDEN LAKE DRIVE RAYTOWN, MO 64133",39.028447,-94.445337
4KCTY,656,MG - THE QUARTERS AT DES PERES,"13230 MANCHESTER ROAD DES PERES, MO 63131",38.601176,-90.464138
4KCTY,657,MG - HIDDEN LAKE (EAST) DO NOT USE - EMC ONLY,5130 WOODSON ROAD - EMC ONLY,47.51257324,20.14487457
4KCTY,1113,LK - LARKSFIELD PLACE HCC SNF,"2828 N GOVERNEUOUR ST WICHITA, KS 67226",37.735001,-97.250943
4KCTY,1115,LK - LARKSFIELD PLACE ALF,"2727 NORTH ROCK ROAD WICHITA, KS 67226",37.733526,-97.24562167
4KCTY,1204,MC - MCCRITE PLAZA SNF,"1201 NW TULLISON ROAD KANSAS CITY, MO 64116",39.16272883,-94.596279
4KCTY,1220,MM- FRIENDSHIP MANOR SNF,"600 W BLANCHARD AVE, SOUTH HUTCHISON, KS 67505",38.029814,-97.953097
4KCTY,1750,PM - ABERDEEN VILLAGE HCC SNF,"17500 WEST 119TH STREET OLATHE, KS 66049",38.914981,-94.791295
4KCTY,4582,"DISPENSING PHARMACY KS, ADU #1","11286 RENNER BOULEVARD LEXEXA, KS 66219",38.92422,-94.78088
4KCTY,5600,PC-PIMA COUNTY MAIN FACILITY,1270 W. Silverlake Rd.,32.200828,-110.991606
4KCTY,5602,PC-MISSION ROAD MINIMUM SECUR,1801 S. Mission Road,37.660792,-97.261159
4KCTY,14400,LB - LABELLE MANOR CARE CENTER,"1002 CENTRAL STREET LA BELLE, MO 63447",40.12127667,-91.923705
4KCTY,94582,"DISPENSING PHARMACY KS, ADU #2","11286 RENNER BOULEVARD LEXEXA, KS 66219",38.92422,-94.78088
4KCTY,95600,CAN-EMC ONLY BACK UP PIMA CO,1270 W. Silverlake Rd.,32.200828,-110.991606
4KCTY,B1550,BN - LIVING COMMUNITY ST JOSEPH,"1202 HEARTLAND ROAD SAINT JOSEPH, MO 64506",39.778941,-94.774198
4KCTY,J1101,JK - KIRKSVILLE MANOR CARE,"1705 E LEHARPE KIRKSVILLE, MO 63501",40.1795,-92.56542
4KCTY,J1102,JK - LIVINGSTON MANOR CARE,"939 EAST BIRCH CHILICOTHE, MO 64601",39.776558,-93.52284
4KCTY,J1103,JK - MANOR CARE OF INDEPENDENCE,"1600 S KINGS HIGHWAY INDEPENDENCE, MO 64055",39.071834,-94.398971
4KCTY,J1104,JK - PLEASANT VALLEY MANOR CARE,"6814 SOBBIE ROAD LIBERTY, MO 64068",39.218302,-94.480484
4KCTY,J1105,JK - FULTON MANOR CARE,"520 MANOR DRIVE FULTON, MO 65251",38.869764,-91.941125
4KCTY,J1106,JK - WARRENSBURG MANOR CARE,"400 CARE CENTER DRIVE WARRENSBURG, MO 64093",38.76556167,-93.71942
5ATLA,650,DIVERSICARE OF BOAZ,"600 CORLEY AVENUE BOAZ,AL 35957",34.220646,-86.161755
5ATLA,715,SV - BRIARWOOD HEALTH & REHAB,"3888 LAVISTA ROAD TUCKER, GA 30165",33.844296,-84.259864
5ATLA,717,SV - ROME HEALTH & REHAB,"1345 REDMOND ROAD ROME, GA 30165",34.28272332,-85.20002259
5ATLA,730,SV - GLENWOOD HEALTH & REHAB,"4115 GLENWOOD ROAD DECATUR, GA 30032",33.737235,-84.249768
5ATLA,769,SV - N DECATUR HEALTH & REHAB,"2787 NORTH DECATUR ROAD DECATUR, GA 30033",33.792728,-84.278493
5ATLA,3858,GL - SALUDE,"601 North Holt Pkwy Suwanee, GA 30024",34.03195,-84.0581
5ATLA,4584,DISPENSING PHARMACY - AT ADU #1,3100 Northwoods Place,33.960569,-84.200312
5ATLA,94584,DISPENSING PHARMACY - AT ADU #2,3100 Northwoods Place,33.960569,-84.200312
6FRES,41,RHF - PLYMOUTH SQUARE SNF,"1319 N. MADISON STREET  STOCKTON CA, 95202",37.965186,-121.297524
6FRES,532,DTH -  CLOVIS ,"111 BARSTOW AVENUE CLOVIS, CA 93625",36.817052,-119.707507
6FRES,533,DTH -  FOWLER ,"1306 EAST SUMNER AVENUE FOWLER, CA 93625",36.627528,-119.672937
6FRES,534,DTH - MEMORY CARE FRESNO,"925 NORTH CORNELIA FRESNO, CA 93706",36.749522,-119.88059
6FRES,536,EDR - COMMUNITY CARE,"3672 NORTH FIRST STREET FRESNO, CA 93726",36.784557,-119.7721325
6FRES,537,DTH - MANCHESTER,"3408 EAST SHIELDS AVENUE FRESNO, CA 93726",36.779021,-119.767812
6FRES,542,DTH -  GALT ,"144  GALT, CA 95632",38.25639,-121.3005567
6FRES,557,DTH -  REEDLEY ,"1090 EAST DINUBA AVENUE REEDLEY, CA 93654",36.590119,-119.437565
6FRES,559,DTH -  SANGER ,"2550 NINTH STREET SANGER, CA 93657",36.703615,-119.5726433
6FRES,566,TSC -  SHAFTER ,"140 EAST TULARE AVENUE SHAFTER, CA 93263",35.507492,-119.276653
6FRES,568,DTH - QUAIL LAKE,"1221 ROSEMARIE LANE STOCKTON, CA 95207",37.987422,-121.319841
6FRES,569,EDR - STOCKTON,"4545 SHELLEY COURT STOCKTON, CA 95204",37.992776,-121.303775
6FRES,570,DTH - WEBER OAKS,"2740 NORTH CALIFORNIA STREET STOCKTON, CA 95204",37.977761,-121.290227
6FRES,667,DTH -  FRESNO ,"2715 FRESNO STREET FRESNO, CA 93721",36.741615,-119.785352
6FRES,1120,PV - PARADISE VALLEY ESTATES,"2600 ESTATES DRIVE FAIRFIELD, CA 94533",38.307175,-122.0304333
6FRES,1440,EN - PARKVIEW POST ACUTE,"3751 MONTGOMERY SANTA ROSA, CA 95405",38.453427,-122.675952
6FRES,1441,EN - SUMMERFIELD,"1280 SUMMERFIELD ROAD SANTA ROSA, CA 95405",38.445586,-122.664057
6FRES,1442,EN - UKIAH POST ACUTE,"1349 S. DORA STREET UKIAH, CA 95482",39.130269,-123.208205
6FRES,1443,EN - NORTHBROOK NURSING REHAB,"64 NORTHBROOK WAY WILLITS, CA 95490",39.415782,-123.360989
6FRES,1444,EN - CLOVERDALE HEALTHCARE,300 CHERRY CREEK ROAD,38.79637,-123.02464
6FRES,1445,EN - BROADWAY VILLA POST ACUTE,"1250 BROADWAY SONOMA, CA 95476",38.278255,-122.458374
6FRES,1446,EN - VALLEY OF THE MOON,347 ANDRIEUX STREET,38.288115,-122.465317
6FRES,1810,WHH-THE OAKS POST ACUTE,"450 HAYES LANE PETALUMA, CA 94952",38.222612,-122.647962
6FRES,1900,MR - ANBERRY ATWATER,"1685 SHAFFER ROAD ATWATER, CA 95301",37.348896,-120.596511
6FRES,1901,MR - CAL PARK REHAB,"2850 SIERRA SUNRISE TERRACE CHICO, CA 95928",39.745626,-121.784761
6FRES,1902,MR - ATC MERCED,"1000 YOSEMITE AVENUE MERCED, CA 95348",37.33155,-120.48537
6FRES,1903,MR - HORIZON HEALTH & SUBACUTE,"3034 EAST HERNDON FRESNO, CA 93720",36.838618,-119.734998
6FRES,4589,Dispensing Pharmacy CA,"2727 W Shaw Avenue Fresno, CA 93726",36.80814503,-119.8430965
6FRES,5501,SF - SAN FRANCISCO HEALTH REHAB,"1477 GROVE STREET SAN FRANCISCO, CA 94117",37.775276,-122.440724
6FRES,20001,JH - FRIEDMAN,"302 SILVER AVENUE SAN FRANCISCO, CA 94112",37.727733,-122.430431
6FRES,20002,JH - GOODMAN,"302 SILVER AVENUE SAN FRANCISCO, CA 94112",37.727733,-122.430431
6FRES,20003,JH - KORET,"302 SILVER AVENUE SAN FRANCISCO, CA 94112",37.727733,-122.430431
6FRES,64589,Dispensing Pharmacy CA - 6,"2727 W Shaw Avenue Fresno, CA 93726",36.80814503,-119.8430965
6FRES,74589,Dispensing Pharmacy CA - 7,"2727 W Shaw Avenue Fresno, CA 93726",36.80814503,-119.8430965
6FRES,84589,Dispensing Pharmacy CA - 8,"2727 W Shaw Avenue Fresno, CA 93726",36.80814503,-119.8430965
6FRES,94589,Dispensing Pharmacy CA - 9,"2727 W Shaw Avenue Fresno, CA 93726",36.80814503,-119.8430965
6FRES,P6000,PL - WHITE BLOSSOM,"1990 FRUITVALE AVENUE SAN JOSE, CA 95128",37.25869,-122.01371
6FRES,P6002,PL - VASONA CREEK,"16412 LOS GATOS BLVD LOS GATOS, CA 95032",37.23019,-121.96458
6FRES,P6003,PL - CYPRESS RIDGE,"1501 Skyline Drive Monterey, CA 93940",36.592915,-121.916455
6FRES,P6004,PL - CANYON SPRINGS POST ACUTE,"180 N. JACKSON AVE, SAN JOSE, CA  95116",37.36269,-121.846871
